id,overdue,s_qq_first,qq_len,wechat_is_phone,alipay_is_phone,wechat_is_email,alipay_is_email,has_first_tel,has_second_tel,has_third_tel,baidu_phone_title_times,baidu_phone_content_times,baidu_phone_page_times,baidu_phone_pages_count,baidu_first_tel_title_times,baidu_first_tel_content_times,baidu_first_tel_page_times,baidu_first_tel_pages_count,baidu_second_tel_title_times,baidu_second_tel_content_times,baidu_second_tel_page_times,baidu_second_tel_pages_count,has_baidu_phone_user_mark_times,has_baidu_first_tel_user_mark_times,has_baidu_second_tel_user_mark_times,baidu_phone_title_page_times_odds,baidu_phone_content_page_times_odds,baidu_phone_title_times_page_counts_odds,baidu_phone_content_times_page_counts_odds,baidu_phone_page_times_counts_odds,baidu_first_tel_title_page_odds,baidu_first_tel_content_page_odds,baidu_first_tel_title_times_page_counts_odds,baidu_first_tel_content_times_page_counts_odds,baidu_first_tel_page_times_counts_odds,baidu_second_tel_title_page_odds,baidu_second_tel_content_page_odds,baidu_second_tel_title_times_page_counts_odds,baidu_second_tel_content_times_page_counts_odds,baidu_second_tel_page_times_counts_odds
106655,0,c_2,c_9.0,0,1,0,0,1,1,0,1,5,6,3,1.0,9.0,10.0,3.0,1.0,7.0,8.0,5.0,0,0,0,0.16666666666666666,0.8333333333333334,0.3333333333333333,1.6666666666666667,2.0,0.1,0.9,0.3333333333333333,3.0,3.3333333333333335,0.125,0.875,0.2,1.4,1.6
106660,0,c_1,c_10.0,0,1,0,0,1,1,0,1,5,6,2,1.0,8.0,9.0,2.0,1.0,6.0,7.0,3.0,0,0,0,0.16666666666666666,0.8333333333333334,0.5,2.5,3.0,0.1111111111111111,0.8888888888888888,0.5,4.0,4.5,0.14285714285714285,0.8571428571428571,0.3333333333333333,2.0,2.3333333333333335
106666,0,c_7,c_9.0,1,1,0,0,1,1,0,1,8,9,4,1.0,2.0,3.0,2.0,1.0,7.0,8.0,3.0,0,0,0,0.1111111111111111,0.8888888888888888,0.25,2.0,2.25,0.3333333333333333,0.6666666666666666,0.5,1.0,1.5,0.125,0.875,0.3333333333333333,2.3333333333333335,2.6666666666666665
106667,0,c_3,c_9.0,0,0,0,1,1,1,0,1,4,5,6,1.0,8.0,9.0,2.0,1.0,7.0,8.0,4.0,0,0,0,0.2,0.8,0.16666666666666666,0.6666666666666666,0.8333333333333334,0.1111111111111111,0.8888888888888888,0.5,4.0,4.5,0.125,0.875,0.25,1.75,2.0
106671,0,c_2,c_10.0,0,0,0,0,1,1,0,1,0,1,2,1.0,8.0,9.0,3.0,1.0,8.0,9.0,2.0,0,0,0,1.0,0.0,0.5,0.0,0.5,0.1111111111111111,0.8888888888888888,0.3333333333333333,2.6666666666666665,3.0,0.1111111111111111,0.8888888888888888,0.5,4.0,4.5
106672,0,c_3,c_9.0,0,0,0,1,1,1,0,1,7,8,2,1.0,7.0,8.0,2.0,1.0,5.0,6.0,2.0,0,0,0,0.125,0.875,0.5,3.5,4.0,0.125,0.875,0.5,3.5,4.0,0.16666666666666666,0.8333333333333334,0.5,2.5,3.0
106673,0,c_9,c_9.0,1,1,0,0,1,1,0,1,4,5,2,1.0,8.0,9.0,1.0,0.0,7.0,7.0,1.0,0,0,1,0.2,0.8,0.5,2.0,2.5,0.1111111111111111,0.8888888888888888,1.0,8.0,9.0,0.0,1.0,0.0,7.0,7.0
106675,0,c_2,c_9.0,1,1,0,0,1,1,0,1,8,9,1,1.0,9.0,10.0,2.0,1.0,3.0,4.0,2.0,0,0,0,0.1111111111111111,0.8888888888888888,1.0,8.0,9.0,0.1,0.9,0.5,4.5,5.0,0.25,0.75,0.5,1.5,2.0
106682,0,c_5,c_9.0,0,1,0,0,1,1,0,1,5,6,3,1.0,8.0,9.0,2.0,1.0,7.0,8.0,4.0,0,0,0,0.16666666666666666,0.8333333333333334,0.3333333333333333,1.6666666666666667,2.0,0.1111111111111111,0.8888888888888888,0.5,4.0,4.5,0.125,0.875,0.25,1.75,2.0
106687,0,c_4,c_9.0,0,1,0,0,1,1,0,1,7,8,6,1.0,7.0,8.0,2.0,1.0,8.0,9.0,2.0,0,0,0,0.125,0.875,0.16666666666666666,1.1666666666666667,1.3333333333333333,0.125,0.875,0.5,3.5,4.0,0.1111111111111111,0.8888888888888888,0.5,4.0,4.5
106688,0,c_7,c_9.0,0,1,0,0,1,1,0,1,9,10,3,0.0,9.0,9.0,2.0,1.0,5.0,6.0,3.0,0,0,0,0.1,0.9,0.3333333333333333,3.0,3.3333333333333335,0.0,1.0,0.0,4.5,4.5,0.16666666666666666,0.8333333333333334,0.3333333333333333,1.6666666666666667,2.0
106691,0,c_5,c_9.0,0,1,0,0,1,1,0,1,8,9,3,2.0,6.0,8.0,5.0,1.0,9.0,10.0,2.0,0,0,0,0.1111111111111111,0.8888888888888888,0.3333333333333333,2.6666666666666665,3.0,0.25,0.75,0.4,1.2,1.6,0.1,0.9,0.5,4.5,5.0
106693,0,c_1,c_10.0,0,1,0,0,1,1,0,1,5,6,5,1.0,9.0,10.0,1.0,1.0,9.0,10.0,4.0,0,0,0,0.16666666666666666,0.8333333333333334,0.2,1.0,1.2,0.1,0.9,1.0,9.0,10.0,0.1,0.9,0.25,2.25,2.5
106696,0,c_1,c_10.0,0,1,0,0,1,1,0,1,8,9,2,1.0,7.0,8.0,2.0,1.0,6.0,7.0,3.0,0,0,0,0.1111111111111111,0.8888888888888888,0.5,4.0,4.5,0.125,0.875,0.5,3.5,4.0,0.14285714285714285,0.8571428571428571,0.3333333333333333,2.0,2.3333333333333335
106698,0,c_1,c_9.0,1,1,0,0,1,1,0,1,2,3,2,1.0,6.0,7.0,1.0,1.0,6.0,7.0,2.0,0,0,0,0.3333333333333333,0.6666666666666666,0.5,1.0,1.5,0.14285714285714285,0.8571428571428571,1.0,6.0,7.0,0.14285714285714285,0.8571428571428571,0.5,3.0,3.5
106703,0,c_5,c_8.0,0,0,0,1,1,1,0,1,6,7,2,1.0,9.0,10.0,2.0,1.0,7.0,8.0,2.0,0,0,0,0.14285714285714285,0.8571428571428571,0.5,3.0,3.5,0.1,0.9,0.5,4.5,5.0,0.125,0.875,0.5,3.5,4.0
106710,0,c_3,c_9.0,0,1,0,0,1,1,0,1,7,8,2,3.0,9.0,12.0,2.0,1.0,2.0,3.0,3.0,0,0,0,0.125,0.875,0.5,3.5,4.0,0.25,0.75,1.5,4.5,6.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,1.0
